"Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Model","Variant","SSP","Year","period"
1078.892612025,11.0486870076978,0.0814901813911145,-0.0304132057820339,0.0720031013612115,"IPSL-CM6A-LR","r2i1p1f1","ssp370","Fut(1993-2022)",2007
1110.50464126745,10.9596882617636,-1.2180573790943,-0.0999535448055408,0.0800257748254811,"IPSL-CM6A-LR","r2i1p1f1","ssp585","Fut(1993-2022)",2007
1020.91142914123,11.0998549657613,-1.83784968807943,0.113637430241197,0.0491730989764037,"IPSL-CM6A-LR","r3i1p1f1","ssp245","Fut(1993-2022)",2007
1060.77755580719,11.0710769482895,-1.26902293659361,0.0632344960067984,0.0473018366927729,"IPSL-CM6A-LR","r3i1p1f1","ssp370","Fut(1993-2022)",2007
1037.96940465948,11.1480269032834,-1.1948940961361,0.0522849767539741,0.0744665190059983,"IPSL-CM6A-LR","r3i1p1f1","ssp585","Fut(1993-2022)",2007
1051.21840606956,11.1130278392577,0.212777828859438,0.0502679071943994,0.055968268049666,"IPSL-CM6A-LR","r10i1p1f1","ssp370","Fut(1993-2022)",2007
1089.98143425364,10.8373874924876,1.4264073873482,-0.0441957894336691,-0.0114490212503799,"IPSL-CM6A-LR","r4i1p1f1","ssp245","Fut(1993-2022)",2007
1051.47424720351,10.9061003813151,0.702607427214211,-0.0260765258423998,-0.00591122304600766,"IPSL-CM6A-LR","r4i1p1f1","ssp370","Fut(1993-2022)",2007
1060.92422829481,10.9032028273125,1.13921753429475,0.0494396436254133,0.0267487169113618,"IPSL-CM6A-LR","r4i1p1f1","ssp585","Fut(1993-2022)",2007
1040.35644716564,11.0507571010494,1.41373831621518,0.00234540290236638,0.00493932672650388,"IPSL-CM6A-LR","r5i1p1f1","ssp245","Fut(1993-2022)",2007
